Index,RMS,dBFS,8Hz,12.5Hz,16Hz,20Hz,25Hz,31.5Hz,40Hz,50Hz,63Hz,80Hz,100Hz,125Hz,160Hz,200Hz,250Hz,315Hz,400Hz,500Hz,630Hz,800Hz,1000Hz,1250Hz,1600Hz,2000Hz,2500Hz,3150Hz,4000Hz,5000Hz,6300Hz,8000Hz,10000Hz,12500Hz,16000Hz,20000Hz
432.0,30.0,-60.76657360480111,2.9242792860618816,3.580416125967674,3.580416125967674,3.580416125967674,4.12542860597607,4.12542860597607,3.980986000794896,4.289709880621281,4.002155927540362,3.996359945811671,4.238339423707164,3.7615338577532773,3.942543215774736,4.101314251848642,3.9376946190141084,3.678525970650434,3.2426009299590812,3.42126527986493,2.9203308769388965,2.8565435628598146,2.9151789153124033,2.669452375094278,2.6456003831708492,2.4731312381317245,2.336640655115941,2.2293951772053715,2.10053579351139,2.01836057830766,1.963197630572817,1.8686073906230827,1.7692259010141336,1.6751769386350432,1.6230080986809603,1.5530734770721983
433.0,36.0,-59.18294868384861,3.2830749747354715,3.74751185511368,3.74751185511368,3.74751185511368,4.208540889581476,4.208540889581476,4.49091808755948,4.326646806397866,4.3605885798820845,3.838760338512113,3.844050114458599,3.878229606758549,4.206888238449109,4.081428926969114,3.8695433381853865,3.288845192826693,3.4278311290999244,3.1384770728561056,2.659330304344706,2.9496206304111663,2.447241860608284,1.9483224634366705,2.02577702860527,2.062613427270133,2.048704635410117,1.816258584233388,1.6073367168338246,1.4489492741525136,1.653628974444743,1.4086672989354108,1.3560146397085748,1.2850206188162705,1.270624251219791,1.4485479003215214
434.0,31.0,-60.48176482250891,3.3344537511509307,3.499095825606729,3.499095825606729,3.499095825606729,4.343695998400528,4.343695998400528,3.9014729798399665,3.8102719716500952,4.061267906259113,3.3685672546824215,4.161634020315106,3.675259791242309,4.007647068818547,4.233270854341164,3.866150097200452,3.7220166384255946,3.4169865859714643,3.5413745843192386,3.396418555674869,3.2829946141079,2.0564311578587215,2.510150239266713,2.4098521850868635,2.2453963977689173,2.126854141229994,1.984640940808729,1.7330768983679654,1.62706126746331,1.665231622135653,1.5596600614243241,1.472344754088109,1.426020163500943,1.4360149707988366,1.6837593328899783
435.0,47.0,-56.86704154048,3.4938761108528227,3.7101691491317283,3.7101691491317283,3.7101691491317283,4.338601762352487,4.338601762352487,4.33914447827971,3.7328590524209173,3.9601859891267543,4.007505553248008,3.7148731383896365,3.6210537149563136,3.9647832157534655,3.9653611707834955,3.9740396730749756,3.0668015144672895,3.139933873574034,3.3826638413910386,3.2897015727924983,3.1419737438782764,2.9689710272999172,3.068888686664743,3.0403374443935953,3.2598752886944444,3.288674372598811,3.2849539993424366,3.25509111134032,3.196132127081775,3.117849865174855,3.0564427630741227,2.7612911329184624,2.6365458950621763,2.7011396408820767,2.3851057112041176
436.0,90.0,-51.22414851040786,3.254064452914338,3.388585185688443,3.388585185688443,3.388585185688443,4.0223900829806025,4.0223900829806025,4.364210259792885,3.9950722354140042,4.291556578923252,4.233601300582018,4.066455034591506,3.9407882517772364,4.02947294080915,4.0683461455863155,3.8548073379955548,3.9290684488993124,4.106553298807113,4.1597162557819765,4.080484767475374,3.6124552038049256,4.008043135743516,4.230198573993833,4.244513282873836,4.0567124786061655,3.697266552658263,3.651904491425219,3.4124269113659493,3.0914564319197173,3.015732531321318,2.928763135914087,2.7434635782779235,2.621520819337653,2.670354862219613,2.8718640401549074
437.0,609.0,-34.616652846536844,4.876858414320219,4.920981777970691,4.920981777970691,4.920981777970691,5.036574721081806,5.036574721081806,4.966089414029221,5.288072245598173,5.482076878662574,5.690510532252039,5.6745749611715555,4.809130523177356,5.366057437079455,5.221075822737515,5.291814419440582,5.125975793714982,5.003847276061265,4.69349290909592,4.414250128950969,4.303778403148085,4.033409996999261,4.384917502442372,4.120821976882919,4.050156640145856,3.932858142936679,3.863929847606358,3.6839014818956057,3.590553183616487,3.493090160213738,3.4070691657872034,3.318991231046943,3.237732951971878,3.1663282901215397,3.1372486784373192
438.0,1627.0,-26.08124764045718,5.230829401003041,5.228521389312029,5.228521389312029,5.228521389312029,5.286609631281404,5.286609631281404,5.289556078352896,5.306247834720298,5.542991667661708,6.067988617950382,5.791813409970246,5.124914075782596,5.5510787648214155,5.7473265728842575,5.338752211815129,5.21478215553236,5.16398536013876,4.689227083038289,4.508770348896625,4.381191039549749,4.264648058030556,4.250423192049483,4.305075123261678,4.088939653651704,3.985914767638974,3.8866456542499384,3.8178093821640604,3.6794408795401012,3.5832051822732023,3.496472618080061,3.403583079536954,3.3228308203964865,3.253170487679423,3.228248167786022
439.0,1950.0,-24.508306471943996,5.475409661412968,5.483255397912134,5.483255397912134,5.483255397912134,5.513214505564044,5.513214505564044,5.554079124827616,5.640615111146053,5.751774859662432,6.124037661443971,6.39808578702855,5.638989151779959,5.449107907821051,6.000836436288666,5.1891521458229155,5.084416801522399,4.60783258003835,4.466671216015558,4.324106992379124,4.019935663957396,4.031124669841763,3.958871785783174,3.915446340320148,3.8424095042076405,3.5366705484407714,3.597724485327747,3.396103138556685,3.264765215951363,3.2300727728694993,3.09735266421441,3.017968891407012,2.937676604306478,2.870446419904134,2.8433429218671935
440.0,2227.0,-23.35459435851359,4.878958168533301,4.876306911696102,4.876306911696102,4.876306911696102,4.883785054366207,4.883785054366207,4.944337309917221,4.9609384307135995,4.699144313959666,5.04415751895433,6.5125143087194255,5.53991943876624,5.633878924473572,5.745718177435348,5.664842735071652,5.03167238297102,4.242051428734855,4.647313796081334,4.432522790916104,4.1376570502873085,4.530199882177515,3.970333813105936,4.056022627664331,3.825978582441289,3.5639961200274506,3.553390235168059,3.51050282841755,3.377427377603672,3.2822287075061447,3.1854579301570687,3.1014213680985327,3.020100077095275,2.9519993540429397,2.914425814197642
441.0,1358.0,-27.6510033003047,5.037585842826617,5.0689580748141525,5.0689580748141525,5.0689580748141525,5.116519468943023,5.116519468943023,5.079815733214751,5.188247202005257,5.309308477133114,5.535138847747829,6.017660340197051,5.881132252613773,5.24220451329844,6.005506511093047,5.127088028228466,5.122947676888629,4.219791323477415,4.3324176547898565,4.295011540054438,4.147631281155383,4.624049375626125,4.148783483337908,4.218000409545776,3.7122882315498145,3.7153483639226548,3.6712336006080726,3.453084770286453,3.421475985351578,3.3217536728693067,3.2171795963784175,3.137194720498389,3.056687236562391,2.968430850871804,2.939143896698716
442.0,429.0,-37.65985285549987,4.220343485097047,4.283605459764861,4.283605459764861,4.283605459764861,4.44973300931283,4.44973300931283,4.666424189756292,4.801174883216706,4.962382296659228,5.008322839597112,5.68779204298143,5.542267311920785,5.083534662990021,5.175139845120722,4.7661639805370735,4.409395467035589,4.362117952656715,3.9316998937913756,3.8253526214748814,3.795375430014942,3.959310888145537,3.7217570981893306,3.6673556071327362,3.4989031220919804,3.396616623328227,3.2973525779673136,3.2149435091580534,3.137565523489671,3.043075298930095,2.9230601755118664,2.83051059414647,2.7485418487560476,2.6869215059977742,2.6408131164205986
443.0,164.0,-46.012121738240396,3.6956567599361905,3.805605937852265,3.805605937852265,3.805605937852265,4.4196879801291304,4.4196879801291304,4.451913283960787,4.468299894669903,4.505709460479978,4.770894590682685,4.9557108821773435,5.154169119308728,4.637309648227122,4.688856971611883,4.401391233127127,4.2920014679958225,4.07626325092088,3.9258698145751674,3.9765292982361666,3.812210560669042,3.5537688948356614,3.6716535356216626,3.5440745840167422,3.402978827258527,3.3448613969800167,3.2398175146156554,3.1291842267174816,2.9648833751681227,2.935347535213094,2.839428463129886,2.74106407597463,2.659172816123658,2.583270769959663,2.5530471092626783
444.0,1532.0,-26.603823393262655,4.453364213801836,4.417902487636936,4.417902487636936,4.417902487636936,4.669313324210233,4.669313324210233,4.577140480265342,5.056869950471845,4.8109746971345935,5.871594321510157,6.116428371131156,5.701819211969319,5.8965183253506135,5.735850729348205,5.381504864372811,4.960939815599753,4.6821464125041565,3.8278071324084224,3.3798160997892186,3.5888448786405105,3.942615093437859,4.2926080371666915,3.8772645222730957,3.4730241385070366,3.2646046878420703,3.248007607489269,3.242870609243986,2.96369394872988,2.887673200357447,2.7542467039793688,2.649443751380406,2.5666469819873505,2.5024382562776486,2.557581205931261
445.0,1108.0,-29.41820349134614,4.247236549506764,4.318063795799292,4.318063795799292,4.318063795799292,4.235051441479668,4.235051441479668,4.501744128857816,4.436264218987446,4.223727005640888,6.089733692059758,5.622496041325126,5.008556348562101,5.864547443820373,5.04203909871131,4.461291933235096,4.413837241315975,4.4311974894686434,4.062957464454851,3.8192208376372516,4.010628576007845,4.323801702364225,3.896714373536195,3.778977311253426,3.57394280040729,3.331234837508553,3.04689130160376,1.8265189402052022,2.575299084768155,2.343591288795446,2.2632831396491255,2.185092169818922,2.1101212285265674,2.0559808662685652,2.1042960673611972
446.0,1874.0,-24.853606968159166,4.841146651570111,4.874501038222354,4.874501038222354,4.874501038222354,4.5300415107336445,4.5300415107336445,4.6764148103180405,4.7438785539008395,4.881217839999595,6.151081028757733,5.4823765883572415,5.042256561991773,6.063438095565762,5.698020868802259,5.582441475414087,5.284272551310365,4.997828924492734,4.1483684033450094,4.331354111873377,4.29499173060249,4.2651057727079,4.2686457620052956,4.040526153899805,3.8121951014186894,3.545001578130006,3.6560841480707094,3.3283778968452604,3.256023384650768,3.155079434823852,3.0713139559616622,2.9817557957509258,2.8990351313831733,2.8344010640004793,2.8177086018673854
447.0,1466.0,-26.986319293092173,5.354642331493144,5.347962242298931,5.347962242298931,5.347962242298931,5.375520833128582,5.375520833128582,5.342787771472439,5.490710670753537,5.701346020138678,5.8376771451788345,5.963043815199715,5.28840806371709,5.6695769378828045,5.344923292026798,5.479383631356716,5.254678898732757,4.7448926339680915,4.696685899772188,4.018722064532288,4.596920566496857,4.443461450283949,4.166304702556857,3.240683371612161,3.5009431310435515,3.1835884547025075,3.2507594218359857,3.0399787251174715,2.8991663652891617,2.868070098096322,2.748608733536292,2.653499403535419,2.5750535801619354,2.5098814101072486,2.4254797907819703
448.0,1214.0,-28.62462496440958,5.3714853234944995,5.396160730628257,5.396160730628257,5.396160730628257,5.442931550926775,5.442931550926775,5.464770675606707,5.609100573344001,5.8470839395011645,5.919499609714647,5.486425885699985,5.175818805960095,5.3919012300541205,5.1006831365424254,4.721869611364241,4.908127657742841,4.578712376792557,4.327573547536562,3.9552705179325773,4.489843710190613,3.9744153618210065,4.002701751937958,4.015792330251518,3.781006824013448,3.63114343007821,3.4738584885864277,3.418634873739604,3.3348077317855576,3.2093646838804637,3.1265666179793543,3.0436425726023115,2.961239845867577,2.8901309453275683,2.846561324103217
